Tue 30 Jul 13:55:24 BST 2024

# packages in environment at /mnt/scratchc/bioinformatics/sawle01/software/miniforge3/envs/R:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       2_gnu    conda-forge
_r-mutex                  1.0.1               anacondar_1    conda-forge
argcomplete               3.2.3              pyhd8ed1ab_0    conda-forge
binutils_impl_linux-64    2.40                 hf600244_0    conda-forge
bioconductor-affy         1.80.0            r43ha9d7317_0    bioconda
bioconductor-affyio       1.72.0            r43ha9d7317_0    bioconda
bioconductor-annotate     1.80.0            r43hdfd78af_0    bioconda
bioconductor-annotationdbi 1.64.1            r43hdfd78af_0    bioconda
bioconductor-annotationfilter 1.26.0            r43hdfd78af_0    bioconda
bioconductor-annotationhub 3.10.0            r43hdfd78af_0    bioconda
bioconductor-apeglm       1.24.0            r43hf17093f_0    bioconda
bioconductor-basilisk     1.14.1            r43hdfd78af_0    bioconda
bioconductor-basilisk.utils 1.14.1            r43hdfd78af_0    bioconda
bioconductor-beachmat     2.18.0            r43hf17093f_0    bioconda
bioconductor-biobase      2.62.0            r43ha9d7317_1    bioconda
bioconductor-biocfilecache 2.10.1            r43hdfd78af_0    bioconda
bioconductor-biocgenerics 0.48.1            r43hdfd78af_2    bioconda
bioconductor-biocio       1.12.0            r43hdfd78af_0    bioconda
bioconductor-biocneighbors 1.20.0            r43hf17093f_0    bioconda
bioconductor-biocparallel 1.36.0            r43hf17093f_2    bioconda
bioconductor-biocsingular 1.18.0            r43hf17093f_0    bioconda
bioconductor-biocversion  3.18.1            r43hdfd78af_0    bioconda
bioconductor-biomart      2.58.0            r43hdfd78af_0    bioconda
bioconductor-biostrings   2.70.1            r43ha9d7317_1    bioconda
bioconductor-bluster      1.12.0            r43hf17093f_1    bioconda
bioconductor-cghbase      1.62.0            r43hdfd78af_0    bioconda
bioconductor-cghcall      2.64.0            r43hdfd78af_0    bioconda
bioconductor-clusterprofiler 4.10.0            r43hdfd78af_0    bioconda
bioconductor-data-packages 20231203             hdfd78af_0    bioconda
bioconductor-delayedarray 0.28.0            r43ha9d7317_1    bioconda
bioconductor-delayedmatrixstats 1.24.0            r43hdfd78af_0    bioconda
bioconductor-deseq2       1.42.0            r43hf17093f_2    bioconda
bioconductor-dir.expiry   1.10.0            r43hdfd78af_0    bioconda
bioconductor-dnacopy      1.76.0            r43h9913872_1    bioconda
bioconductor-dose         3.28.1            r43hdfd78af_0    bioconda
bioconductor-dropletutils 1.22.0            r43hf17093f_0    bioconda
bioconductor-edger        4.0.16            r43hf17093f_1    bioconda
bioconductor-enrichplot   1.22.0            r43hdfd78af_0    bioconda
bioconductor-ensembldb    2.26.0            r43hdfd78af_0    bioconda
bioconductor-experimenthub 2.10.0            r43hdfd78af_0    bioconda
bioconductor-fgsea        1.28.0            r43hf17093f_0    bioconda
bioconductor-genomeinfodb 1.38.1            r43hdfd78af_1    bioconda
bioconductor-genomeinfodbdata 1.2.11            r43hdfd78af_1    bioconda
bioconductor-genomicalignments 1.38.0            r43ha9d7317_0    bioconda
bioconductor-genomicfeatures 1.54.1            r43hdfd78af_0    bioconda
bioconductor-genomicranges 1.54.1            r43ha9d7317_1    bioconda
bioconductor-ggtree       3.10.0            r43hdfd78af_0    bioconda
bioconductor-go.db        3.18.0            r43hdfd78af_0    bioconda
